id,country,state,city,station,last_update,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI,Air Quality
233,India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",21-10-2021 01:00:00,173,139,63,22,20,46,10,341,4
234,India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",21-10-2021 01:00:00,195,232,0,2,11,49,158,358,4
235,India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",21-10-2021 01:00:00,270,250,62,10,18,64,36,415,5
236,India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",21-10-2021 01:00:00,259,290,105,6,31,43,48,407,5
237,India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",21-10-2021 01:00:00,215,239,81,5,16,50,26,373,4
238,India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",21-10-2021 01:00:00,132,99,2,5,18,36,10,309,4
239,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",21-10-2021 01:00:00,0,229,44,3,21,53,39,304,4
240,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",21-10-2021 01:00:00,178,202,84,6,17,41,29,345,4
241,India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",21-10-2021 01:00:00,236,194,9,2,21,74,5,389,4
242,India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",21-10-2021 01:00:00,70,57,18,3,5,34,15,219,3
243,India,Uttar_Pradesh,Kanpur,"IITK, Kanpur - IITK",21-10-2021 01:00:00,107,0,0,0,0,28,28,257,3
244,India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",21-10-2021 01:00:00,94,65,18,2,12,44,12,267,3
245,India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",21-10-2021 01:00:00,229,191,0,0,69,136,16,467,5
246,India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",21-10-2021 01:00:00,93,133,19,6,6,29,11,210,3
247,India,Uttar_Pradesh,Lucknow,"Central School, Lucknow - CPCB",21-10-2021 01:00:00,128,86,50,16,7,24,43,306,4
248,India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",21-10-2021 01:00:00,240,136,50,0,31,59,56,392,4
249,India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",21-10-2021 01:00:00,169,130,7,8,8,46,28,338,4
250,India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",21-10-2021 01:00:00,153,153,34,13,11,57,19,325,4
251,India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",21-10-2021 01:00:00,145,179,35,7,9,57,34,319,4
252,India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",21-10-2021 01:00:00,250,204,38,8,9,0,2,400,4
253,India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",21-10-2021 01:00:00,258,223,25,2,32,53,206,406,5
254,India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",21-10-2021 01:00:00,280,194,63,25,27,73,37,423,5
255,India,Uttar_Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",21-10-2021 01:00:00,308,229,41,3,18,54,21,445,5
256,India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",21-10-2021 01:00:00,284,289,17,2,12,104,26,426,5
257,India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",21-10-2021 01:00:00,176,210,42,1,12,17,40,343,4
258,India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",21-10-2021 01:00:00,158,202,28,0,0,90,23,376,4
259,India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",21-10-2021 01:00:00,176,215,86,7,12,22,30,343,4
260,India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",21-10-2021 01:00:00,170,194,63,4,11,113,34,422,5
261,India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",21-10-2021 01:00:00,91,88,5,4,15,16,9,203,3
262,India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",21-10-2021 01:00:00,58,73,19,1,15,24,26,175,2
263,India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",21-10-2021 01:00:00,90,70,40,2,8,25,20,200,2
264,India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",21-10-2021 01:00:00,57,72,56,0,19,27,37,188,2
265,India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",21-10-2021 01:00:00,44,55,7,2,12,30,5,200,2
266,India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",21-10-2021 01:00:00,32,53,6,1,20,25,6,179,2
267,India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",21-10-2021 01:00:00,47,55,19,7,12,21,4,163,2
268,India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",21-10-2021 01:00:00,208,219,14,23,13,39,21,368,4
269,India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",21-10-2021 01:00:00,0,0,0,0,0,25,154,0,0
270,India,West_Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",21-10-2021 01:00:00,0,0,27,2,23,0,0,0,0
271,India,West_Bengal,Haldia,"Haldia, Haldia - WBPCB",21-10-2021 01:00:00,47,63,22,4,19,38,17,238,3
272,India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",21-10-2021 01:00:00,70,92,61,4,9,74,10,345,4
273,India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",21-10-2021 01:00:00,123,116,0,4,7,80,20,357,4
274,India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",21-10-2021 01:00:00,57,57,6,3,4,27,19,188,2
275,India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",21-10-2021 01:00:00,67,82,42,3,14,28,45,192,2
276,India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",21-10-2021 01:00:00,131,91,41,2,12,38,36,308,4
277,India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",21-10-2021 01:00:00,0,0,0,0,0,0,0,0,0
278,India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",21-10-2021 01:00:00,91,84,14,2,8,12,30,203,3
279,India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",21-10-2021 01:00:00,0,0,0,0,0,24,81,0,0
280,India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",21-10-2021 01:00:00,51,74,19,7,4,39,31,243,3
281,India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",21-10-2021 01:00:00,54,74,15,2,10,41,43,252,3
